Municipio;Depto;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
San Bartolomé Milpas Altas;Sacatepéquez;7,751;7,941;8,108;8,256;8,391;8,519;8,642;8,762;8,879;8,993;9,105;9,214;9,321;9,425;9,527;9,627;9,725;9,821;9,914;10,005;10,094
San Lucas Sacatepéquez;Sacatepéquez;26,381;26,840;27,274;27,681;28,066;28,445;28,819;29,187;29,549;29,902;30,251;30,593;30,928;31,254;31,575;31,887;32,191;32,489;32,779;33,062;33,337
Santa Lucía Milpas Altas;Sacatepéquez;15,182;15,646;16,068;16,447;16,792;17,116;17,422;17,712;17,989;18,253;18,508;18,753;18,988;19,217;19,437;19,651;19,859;20,061;20,258;20,449;20,635
Magdalena Milpas Altas;Sacatepéquez;12,102;12,242;12,367;12,478;12,578;12,674;12,766;12,853;12,936;13,016;13,091;13,162;13,228;13,290;13,348;13,400;13,450;13,495;13,536;13,573;13,606
Santa María de Jesús;Sacatepéquez;24,780;25,165;25,525;25,857;26,168;26,472;26,769;27,061;27,346;27,622;27,892;28,154;28,409;28,656;28,895;29,127;29,350;29,566;29,774;29,974;30,168
Ciudad Vieja;Sacatepéquez;35,075;36,149;37,187;38,181;39,140;40,083;41,010;41,920;42,815;43,690;44,548;45,388;46,206;47,005;47,784;48,542;49,281;50,001;50,699;51,379;52,037
San Miguel Dueñas;Sacatepéquez;13,491;13,859;14,218;14,562;14,898;15,231;15,562;15,892;16,218;16,541;16,862;17,179;17,491;17,800;18,104;18,404;18,700;18,990;19,276;19,557;19,833
San Juan Alotenango;Sacatepéquez;25,878;26,307;26,710;27,086;27,439;27,787;28,129;28,464;28,792;29,114;29,429;29,737;30,037;30,329;30,614;30,890;31,159;31,422;31,676;31,922;32,161
San Antonio Aguas Calientes;Sacatepéquez;11,018;11,313;11,602;11,883;12,160;12,438;12,716;12,997;13,279;13,562;13,846;14,131;14,416;14,703;14,990;15,277;15,564;15,852;16,140;16,428;16,716
Santa Catarina Barahona;Sacatepéquez;4,022;4,119;4,213;4,304;4,392;4,480;4,569;4,657;4,746;4,834;4,922;5,010;5,098;5,185;5,272;5,359;5,446;5,532;5,617;5,703;5,788
Chimaltenango;Chimaltenango;102,730;104,763;106,813;108,843;110,817;112,778;114,720;116,642;118,541;120,412;122,257;124,073;125,858;127,613;129,339;131,033;132,698;134,335;135,941;137,519;139,067
San José Poaquil;Chimaltenango;30,322;30,871;31,418;31,952;32,462;32,963;33,454;33,932;34,400;34,855;35,297;35,727;36,144;36,549;36,940;37,321;37,690;38,046;38,392;38,726;39,051
San Martín Jilotepeque;Chimaltenango;84,520;86,091;87,657;89,190;90,659;92,103;93,517;94,901;96,254;97,571;98,857;100,109;101,325;102,507;103,657;104,773;105,857;106,911;107,932;108,925;109,886
San Juan Comalapa;Chimaltenango;51,449;52,794;54,153;55,508;56,841;58,174;59,505;60,834;62,157;63,476;64,788;66,094;67,392;68,684;69,968;71,244;72,514;73,778;75,034;76,283;77,527
Santa Apolonia;Chimaltenango;21,523;21,869;22,211;22,545;22,859;23,166;23,464;23,751;24,031;24,299;24,559;24,808;25,048;25,277;25,497;25,708;25,910;26,103;26,288;26,464;26,632
Tecpán Guatemala;Chimaltenango;98,471;100,596;102,728;104,831;106,871;108,893;110,891;112,864;114,810;116,725;118,611;120,468;122,290;124,083;125,845;127,575;129,276;130,949;132,590;134,205;135,791
Patzún;Chimaltenango;63,573;64,808;66,040;67,250;68,414;69,560;70,685;71,790;72,873;73,932;74,966;75,978;76,964;77,926;78,865;79,780;80,672;81,541;82,389;83,215;84,019
San Miguel Pochuta;Chimaltenango;10,439;10,540;10,651;10,764;10,878;10,996;11,116;11,239;11,365;11,491;11,620;11,748;11,877;12,006;12,134;12,262;12,391;12,518;12,644;12,770;12,895
Patzicía;Chimaltenango;35,017;35,959;36,864;37,729;38,547;39,337;40,104;40,848;41,571;42,277;42,964;43,635;44,290;44,929;45,556;46,168;46,767;47,355;47,931;48,494;49,046
Santa Cruz Balanyá;Chimaltenango;9,743;9,929;10,115;10,298;10,472;10,646;10,815;10,981;11,144;11,302;11,457;11,608;11,756;11,900;12,040;12,177;12,309;12,439;12,564;12,687;12,807
Acatenango;Chimaltenango;25,993;26,423;26,850;27,265;27,660;28,043;28,417;28,780;29,132;29,473;29,801;30,119;30,423;30,718;30,999;31,271;31,532;31,782;32,022;32,252;32,472
San Pedro Yepocapa;Chimaltenango;36,948;37,827;38,713;39,591;40,449;41,304;42,153;42,996;43,832;44,659;45,480;46,291;47,094;47,887;48,673;49,449;50,217;50,977;51,727;52,471;53,205
San Andrés Itzapa;Chimaltenango;32,050;32,562;33,079;33,594;34,093;34,591;35,087;35,579;36,067;36,550;37,028;37,501;37,966;38,426;38,880;39,327;39,769;40,204;40,634;41,057;41,474
Parramos;Chimaltenango;17,334;17,804;18,280;18,755;19,223;19,693;20,163;20,632;21,102;21,570;22,037;22,503;22,968;23,430;23,891;24,350;24,808;25,265;25,720;26,173;26,625
Zaragoza;Chimaltenango;25,209;25,891;26,565;27,222;27,854;28,473;29,077;29,668;30,245;30,807;31,355;31,890;32,410;32,919;33,415;33,898;34,369;34,830;35,279;35,719;36,148
El Tejar;Chimaltenango;19,735;20,305;20,884;21,465;22,040;22,618;23,198;23,780;24,363;24,947;25,532;26,117;26,703;27,288;27,873;28,459;29,045;29,631;30,217;30,803;31,390
Escuintla;Escuintla;154,623;157,085;159,427;161,706;163,906;166,067;168,193;170,280;172,324;174,328;176,287;178,203;180,077;181,908;183,696;185,444;187,151;188,816;190,443;192,031;193,584
Santa Lucía Cotzumalguapa;Escuintla;113,756;115,996;118,101;120,130;122,080;123,987;125,854;127,683;129,473;131,225;132,935;134,608;136,243;137,840;139,398;140,921;142,407;143,856;145,269;146,649;147,995
La Democracia;Escuintla;24,075;24,398;24,694;24,973;25,231;25,474;25,703;25,917;26,116;26,299;26,468;26,620;26,758;26,879;26,985;27,076;27,153;27,214;27,260;27,293;27,311
Siquinalá;Escuintla;24,427;24,611;24,836;25,096;25,377;25,678;25,993;26,317;26,645;26,975;27,303;27,629;27,951;28,269;28,581;28,887;29,187;29,480;29,768;30,049;30,323
Masagua;Escuintla;44,275;44,969;45,622;46,250;46,851;47,435;48,002;48,552;49,085;49,600;50,097;50,577;51,039;51,484;51,911;52,322;52,717;53,095;53,457;53,804;54,137
Tiquisate;Escuintla;60,648;61,053;61,472;61,923;62,393;62,894;63,422;63,971;64,537;65,116;65,704;66,299;66,898;67,499;68,099;68,699;69,296;69,887;70,474;71,054;71,627
La Gomera;Escuintla;60,984;46,580;47,703;48,817;49,919;51,017;52,114;53,211;54,301;55,388;56,471;57,548;58,621;59,688;60,751;61,807;62,859;63,905;64,945;65,981;67,012
Guanagazapa;Escuintla;17,061;17,076;17,102;17,146;17,202;17,275;17,361;17,458;17,565;17,681;17,802;17,930;18,062;18,197;18,335;18,475;18,617;18,759;18,902;19,044;19,186
San José;Escuintla;60,845;62,008;63,123;64,211;65,267;66,304;67,326;68,331;69,316;70,283;71,229;72,156;73,064;73,952;74,821;75,671;76,502;77,313;78,107;78,883;79,642
Iztapa;Escuintla;17,918;18,349;18,741;19,108;19,451;19,780;20,096;20,401;20,697;20,984;21,264;21,534;21,799;22,057;22,307;22,551;22,790;23,023;23,249;23,470;23,687
Palín;Escuintla;64,408;65,665;66,835;67,965;69,053;70,122;71,172;72,203;73,212;74,201;75,167;76,113;77,037;77,939;78,820;79,681;80,521;81,340;82,139;82,920;83,680
San Vicente Pacaya;Escuintla;16,558;16,852;17,132;17,402;17,665;17,920;18,172;18,417;18,657;18,891;19,120;19,342;19,558;19,769;19,974;20,173;20,366;20,554;20,737;20,913;21,086
Nueva Concepción;Escuintla;74,647;75,863;77,012;78,123;79,186;80,223;81,233;82,216;83,170;84,096;84,991;85,858;86,697;87,507;88,288;89,043;89,771;90,471;91,145;91,795;92,420
Sipacate;Escuintla;0;15,944;16,328;16,710;17,086;17,463;17,838;18,212;18,586;18,959;19,329;19,698;20,064;20,430;20,793;21,156;21,515;21,873;22,229;22,584;22,937
Cuilapa;Santa Rosa;43,972;44,475;44,979;45,496;45,996;46,489;46,974;47,448;47,910;48,360;48,795;49,215;49,621;50,013;50,392;50,756;51,108;51,444;51,770;52,081;52,379
Barberena;Santa Rosa;56,507;57,350;58,142;58,921;59,656;60,376;61,079;61,764;62,433;63,086;63,720;64,335;64,933;65,515;66,079;66,625;67,154;67,667;68,164;68,644;69,109
Santa Rosa de Lima;Santa Rosa;19,147;19,586;19,993;20,382;20,744;21,088;21,415;21,726;22,024;22,306;22,573;22,828;23,070;23,300;23,519;23,727;23,925;24,112;24,291;24,461;24,622
Casillas;Santa Rosa;25,055;25,182;25,325;25,493;25,670;25,859;26,059;26,265;26,473;26,684;26,894;27,101;27,305;27,505;27,701;27,891;28,075;28,254;28,428;28,594;28,755
San Rafael Las Flores;Santa Rosa;12,421;12,671;12,913;13,154;13,388;13,620;13,850;14,078;14,305;14,530;14,752;14,972;15,190;15,405;15,618;15,829;16,038;16,243;16,448;16,649;16,849
Oratorio;Santa Rosa;24,434;24,908;25,363;25,815;26,253;26,686;27,115;27,539;27,959;28,375;28,786;29,191;29,591;29,987;30,377;30,762;31,142;31,517;31,887;32,252;32,611
San Juan Tecuaco;Santa Rosa;11,429;11,672;11,907;12,143;12,371;12,599;12,825;13,050;13,275;13,498;13,719;13,938;14,156;14,371;14,586;14,799;15,010;15,219;15,426;15,633;15,837
Chiquimulilla;Santa Rosa;58,748;59,839;60,881;61,915;62,913;63,897;64,871;65,832;66,781;67,719;68,642;69,549;70,444;71,326;72,193;73,046;73,887;74,711;75,526;76,324;77,110
Taxisco;Santa Rosa;32,826;33,512;34,175;34,836;35,478;36,117;36,751;37,381;38,008;38,630;39,246;39,857;40,462;41,062;41,658;42,246;42,830;43,408;43,981;44,548;45,110
Santa María Ixhuatán;Santa Rosa;25,558;25,796;26,007;26,210;26,390;26,560;26,721;26,871;27,012;27,143;27,263;27,374;27,475;27,568;27,651;27,725;27,790;27,847;27,896;27,936;27,970
Guazacapán;Santa Rosa;20,338;20,675;20,994;21,309;21,610;21,906;22,197;22,482;22,762;23,037;23,306;23,569;23,827;24,078;24,324;24,565;24,800;25,029;25,254;25,473;25,686
Santa Cruz Naranjo;Santa Rosa;15,980;16,311;16,632;16,951;17,261;17,569;17,875;18,179;18,481;18,782;19,080;19,374;19,666;19,955;20,242;20,526;20,808;21,086;21,363;21,636;21,906
Pueblo Nuevo Viñas;Santa Rosa;28,385;28,608;28,800;28,982;29,140;29,285;29,418;29,540;29,651;29,751;29,840;29,917;29,983;30,040;30,086;30,122;30,148;30,165;30,173;30,172;30,163
Nueva Santa Rosa;Santa Rosa;37,182;37,594;37,969;38,331;38,663;38,981;39,286;39,576;39,854;40,118;40,367;40,603;40,825;41,034;41,231;41,414;41,585;41,743;41,891;42,026;42,150
Sololá;Sololá;94,406;95,374;96,349;97,297;98,215;99,094;99,934;100,732;101,491;102,208;102,882;103,514;104,104;104,654;105,163;105,633;106,066;106,460;106,818;107,142;107,431
San José Chacayá;Sololá;4,644;4,746;4,844;4,940;5,035;5,128;5,220;5,311;5,402;5,491;5,579;5,667;5,753;5,838;5,923;6,006;6,088;6,170;6,250;6,329;6,408
Santa María Visitación;Sololá;2,355;2,396;2,438;2,480;2,521;2,561;2,602;2,641;2,680;2,718;2,756;2,793;2,829;2,865;2,900;2,934;2,968;3,001;3,033;3,065;3,096
Santa Lucía Utatlán;Sololá;21,011;21,153;21,296;21,432;21,560;21,680;21,790;21,891;21,982;22,064;22,136;22,199;22,252;22,297;22,332;22,360;22,379;22,390;22,394;22,391;22,381
Nahualá;Sololá;81,246;83,233;85,267;87,319;89,387;91,460;93,541;95,623;97,710;99,796;101,883;103,968;106,050;108,131;110,210;112,285;114,358;116,428;118,496;120,561;122,625
Santa Catarina Ixtahuacán;Sololá;54,702;55,813;56,919;58,017;59,111;60,196;61,274;62,342;63,402;64,451;65,488;66,514;67,527;68,529;69,518;70,496;71,462;72,416;73,357;74,290;75,210
Santa Clara La Laguna;Sololá;9,435;9,587;9,741;9,894;10,044;10,193;10,340;10,483;10,625;10,763;10,898;11,030;11,160;11,286;11,409;11,529;11,647;11,762;11,873;11,981;12,088
Concepción;Sololá;6,744;6,769;6,826;6,906;7,001;7,104;7,214;7,328;7,444;7,562;7,680;7,798;7,914;8,030;8,146;8,260;8,372;8,483;8,594;8,703;8,810
San Andrés Semetabaj;Sololá;13,451;13,685;13,924;14,161;14,397;14,630;14,861;15,088;15,311;15,531;15,748;15,960;16,170;16,375;16,576;16,773;16,967;17,157;17,343;17,526;17,706
Panajachel;Sololá;14,448;14,721;14,999;15,277;15,554;15,830;16,101;16,371;16,639;16,903;17,164;17,422;17,675;17,925;18,172;18,415;18,656;18,892;19,125;19,355;19,581
Santa Catarina Palopó;Sololá;4,588;4,638;4,690;4,740;4,789;4,836;4,882;4,926;4,968;5,008;5,046;5,082;5,117;5,149;5,180;5,210;5,236;5,262;5,286;5,309;5,330
San Antonio Palopó;Sololá;14,934;15,078;15,222;15,362;15,498;15,628;15,752;15,869;15,980;16,085;16,183;16,275;16,360;16,440;16,513;16,580;16,643;16,699;16,750;16,795;16,835
San Lucas Tolimán;Sololá;30,177;30,463;30,751;31,031;31,302;31,559;31,805;32,038;32,259;32,465;32,659;32,840;33,008;33,163;33,306;33,437;33,556;33,663;33,759;33,845;33,921
Santa Cruz La Laguna;Sololá;7,371;7,461;7,551;7,640;7,727;7,812;7,894;7,972;8,048;8,122;8,192;8,260;8,324;8,387;8,445;8,501;8,554;8,605;8,654;8,699;8,743
San Pablo La Laguna;Sololá;7,685;7,730;7,782;7,835;7,890;7,946;8,004;8,063;8,124;8,184;8,246;8,308;8,371;8,434;8,498;8,562;8,627;8,692;8,757;8,824;8,889
San Marcos La Laguna;Sololá;2,723;2,761;2,798;2,836;2,872;2,909;2,944;2,978;3,011;3,044;3,075;3,105;3,135;3,162;3,190;3,217;3,242;3,266;3,290;3,312;3,334
San Juan La Laguna;Sololá;11,700;11,975;12,258;12,541;12,828;13,113;13,400;13,687;13,973;14,260;14,546;14,831;15,115;15,400;15,682;15,964;16,246;16,527;16,806;17,086;17,365
San Pedro La Laguna;Sololá;10,424;10,653;10,886;11,122;11,357;11,593;11,828;12,062;12,296;12,528;12,759;12,989;13,218;13,445;13,671;13,896;14,119;14,341;14,561;14,780;14,998
Santiago Atitlán;Sololá;39,702;40,544;41,404;42,267;43,132;43,994;44,854;45,709;46,561;47,407;48,248;49,083;49,910;50,732;51,548;52,356;53,159;53,955;54,745;55,529;56,307
Totonicapán;Totonicapán;110,020;111,419;112,902;114,452;115,978;117,483;118,960;120,408;121,825;123,211;124,560;125,874;127,155;128,400;129,611;130,788;131,933;133,046;134,127;135,177;136,197
San Cristóbal Totonicapán;Totonicapán;39,435;39,983;40,562;41,167;41,764;42,354;42,937;43,511;44,074;44,626;45,168;45,698;46,217;46,725;47,221;47,706;48,179;48,644;49,096;49,540;49,973
San Francisco El Alto;Totonicapán;57,465;58,802;60,163;61,544;62,898;64,224;65,521;66,788;68,026;69,233;70,408;71,552;72,668;73,753;74,810;75,839;76,842;77,820;78,772;79,701;80,606
San Andrés Xecul;Totonicapán;26,927;27,382;27,862;28,363;28,860;29,356;29,849;30,339;30,823;31,304;31,779;32,248;32,713;33,171;33,623;34,070;34,512;34,948;35,380;35,806;36,227
Momostenango;Totonicapán;124,019;126,437;128,974;131,617;134,261;136,909;139,552;142,191;144,820;147,439;150,041;152,629;155,203;157,760;160,300;162,823;165,332;167,826;170,303;172,766;175,214
Santa María Chiquimula;Totonicapán;56,425;56,812;57,236;57,685;58,115;58,526;58,918;59,287;59,635;59,961;60,264;60,543;60,801;61,036;61,250;61,442;61,615;61,769;61,903;62,019;62,117
Santa Lucía la Reforma;Totonicapán;24,370;24,572;24,790;25,021;25,245;25,461;25,668;25,868;26,058;26,240;26,411;26,573;26,726;26,870;27,006;27,132;27,250;27,360;27,462;27,556;27,643
San Bartolo Aguas Calientes;Totonicapán;12,100;12,121;12,164;12,226;12,296;12,374;12,459;12,549;12,644;12,742;12,844;12,948;13,055;13,163;13,272;13,383;13,494;13,606;13,718;13,830;13,942
Quetzaltenango;Quetzaltenango;178,463;182,118;185,809;189,514;193,207;196,867;200,491;204,075;207,620;211,118;214,570;217,976;221,334;224,647;227,911;231,127;234,298;237,424;240,504;243,541;246,537
Salcajá;Quetzaltenango;18,653;19,145;19,609;20,047;20,459;20,851;21,222;21,577;21,917;22,244;22,558;22,861;23,155;23,440;23,714;23,982;24,240;24,492;24,737;24,976;25,207
San Juan Olintepeque;Quetzaltenango;34,844;35,633;36,334;36,988;37,615;38,219;38,808;39,383;39,944;40,493;41,028;41,552;42,062;42,560;43,047;43,520;43,982;44,432;44,871;45,298;45,715
San Carlos Sija;Quetzaltenango;31,919;32,508;33,101;33,695;34,284;34,866;35,437;36,001;36,554;37,097;37,631;38,153;38,666;39,169;39,660;40,142;40,615;41,077;41,529;41,973;42,408
Sibilia;Quetzaltenango;7,984;8,140;8,298;8,455;8,612;8,766;8,920;9,071;9,220;9,367;9,511;9,654;9,794;9,931;10,066;10,199;10,329;10,458;10,584;10,709;10,831
Cabricán;Quetzaltenango;25,156;25,588;26,023;26,456;26,885;27,307;27,720;28,124;28,522;28,910;29,288;29,657;30,018;30,370;30,714;31,048;31,374;31,692;32,001;32,302;32,595
Cajolá;Quetzaltenango;17,791;18,007;18,227;18,452;18,675;18,896;19,116;19,333;19,547;19,757;19,964;20,168;20,367;20,564;20,756;20,945;21,129;21,310;21,488;21,662;21,833
San Miguel Siguilá;Quetzaltenango;8,912;9,052;9,193;9,333;9,471;9,607;9,739;9,869;9,995;10,119;10,239;10,356;10,471;10,581;10,689;10,794;10,896;10,995;11,091;11,185;11,275
