Municipio;Depto;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
Palestina de Los Altos;Quetzaltenango;19,606;19,676;19,790;19,937;20,109;20,299;20,504;20,719;20,942;21,169;21,400;21,632;21,865;22,096;22,326;22,552;22,776;22,997;23,213;23,426;23,635
Mazatenango;Suchitepéquez;82,645;82,687;82,788;82,969;83,211;83,500;83,828;84,186;84,569;84,971;85,386;85,811;86,241;86,675;87,110;87,544;87,973;88,398;88,816;89,227;89,629
Cuyotenango;Suchitepéquez;34,558;35,115;35,659;36,201;36,738;37,266;37,785;38,294;38,791;39,280;39,756;40,220;40,675;41,119;41,551;41,975;42,388;42,790;43,184;43,567;43,942
San Francisco Zapotitlán;Suchitepéquez;21,855;22,340;22,821;23,306;23,792;24,278;24,763;25,245;25,726;26,204;26,679;27,152;27,622;28,088;28,552;29,014;29,473;29,929;30,383;30,834;31,283
San Bernardino;Suchitepéquez;15,289;15,596;15,899;16,204;16,508;16,810;17,110;17,408;17,702;17,995;18,284;18,570;18,852;19,132;19,409;19,683;19,953;20,221;20,486;20,748;21,008
San José el Ídolo;Suchitepéquez;11,056;11,223;11,386;11,547;11,707;11,864;12,017;12,166;12,314;12,455;12,594;12,729;12,861;12,988;13,112;13,232;13,349;13,463;13,573;13,681;13,785
Santo Domingo Suchitepéquez;Suchitepéquez;44,724;45,433;46,124;46,814;47,496;48,166;48,825;49,470;50,099;50,717;51,319;51,907;52,479;53,038;53,583;54,115;54,634;55,138;55,631;56,111;56,580
San Lorenzo;Suchitepéquez;13,115;13,262;13,402;13,541;13,675;13,804;13,930;14,048;14,163;14,272;14,375;14,473;14,567;14,654;14,737;14,816;14,889;14,959;15,024;15,084;15,141
Samayac;Suchitepéquez;24,259;24,785;25,237;25,640;26,008;26,349;26,666;26,967;27,252;27,525;27,784;28,033;28,271;28,500;28,720;28,931;29,133;29,326;29,512;29,690;29,860
San Pablo Jocopilas;Suchitepéquez;19,787;20,237;20,683;21,134;21,586;22,038;22,490;22,939;23,388;23,835;24,280;24,723;25,163;25,602;26,038;26,472;26,905;27,336;27,764;28,191;28,617
San Antonio Suchitepéquez;Suchitepéquez;58,859;59,984;61,093;62,204;63,313;64,411;65,501;66,577;67,641;68,692;69,729;70,751;71,759;72,753;73,733;74,702;75,655;76,595;77,524;78,439;79,342
San Miguel Panán;Suchitepéquez;11,139;11,364;11,586;11,810;12,033;12,255;12,475;12,694;12,910;13,125;13,337;13,547;13,755;13,961;14,165;14,366;14,565;14,762;14,958;15,151;15,343
San Gabriel;Suchitepéquez;7,080;7,281;7,465;7,636;7,796;7,944;8,082;8,211;8,331;8,442;8,546;8,644;8,736;8,821;8,902;8,978;9,050;9,118;9,182;9,244;9,301
Chicacao;Suchitepéquez;66,745;66,936;67,147;67,399;67,680;67,979;68,296;68,622;68,958;69,300;69,645;69,991;70,336;70,680;71,021;71,360;71,693;72,020;72,341;72,655;72,962
Patulul;Suchitepéquez;40,676;40,969;41,254;41,543;41,830;42,115;42,394;42,667;42,934;43,194;43,446;43,691;43,928;44,157;44,380;44,594;44,802;45,002;45,197;45,382;45,563
Santa Bárbara;Suchitepéquez;26,634;26,840;27,030;27,215;27,391;27,555;27,708;27,849;27,978;28,096;28,202;28,296;28,379;28,452;28,514;28,567;28,609;28,643;28,666;28,683;28,690
San Juan Bautista;Suchitepéquez;8,205;8,441;8,660;8,864;9,057;9,236;9,404;9,560;9,705;9,842;9,970;10,089;10,201;10,306;10,405;10,498;10,586;10,668;10,747;10,820;10,890
Santo Tomas La Unión;Suchitepéquez;11,372;11,611;11,848;12,087;12,325;12,563;12,800;13,035;13,269;13,501;13,731;13,959;14,185;14,409;14,631;14,852;15,070;15,287;15,502;15,716;15,928
Zunilito;Suchitepéquez;7,809;8,003;8,190;8,372;8,550;8,722;8,888;9,048;9,202;9,349;9,490;9,626;9,756;9,880;9,997;10,110;10,218;10,320;10,418;10,510;10,599
Pueblo Nuevo;Suchitepéquez;11,261;11,414;11,560;11,703;11,843;11,979;12,111;12,239;12,363;12,483;12,599;12,710;12,817;12,919;13,019;13,114;13,205;13,293;13,377;13,458;13,535
Río Bravo;Suchitepéquez;28,019;28,574;29,120;29,670;30,218;30,762;31,303;31,838;32,368;32,893;33,411;33,923;34,429;34,930;35,424;35,913;36,396;36,873;37,345;37,811;38,273
San José La Máquina;Suchitepéquez;23,836;24,220;24,595;24,969;25,340;25,703;26,062;26,412;26,756;27,092;27,421;27,742;28,055;28,361;28,660;28,951;29,236;29,513;29,785;30,049;30,308
Retalhuleu;Retalhuleu;100,309;101,979;103,623;105,241;106,840;108,405;109,935;111,431;112,894;114,320;115,710;117,065;118,385;119,669;120,918;122,139;123,323;124,479;125,606;126,704;127,769
San Sebastián;Retalhuleu;28,865;29,202;29,530;29,845;30,151;30,444;30,724;30,991;31,244;31,486;31,713;31,928;32,131;32,321;32,500;32,668;32,824;32,970;33,106;33,233;33,349
Santa Cruz Muluá;Retalhuleu;14,297;14,608;14,916;15,224;15,530;15,835;16,138;16,438;16,737;17,031;17,323;17,612;17,898;18,181;18,460;18,738;19,013;19,285;19,555;19,823;20,087
San Martín Zapotitlán;Retalhuleu;11,767;12,029;12,270;12,494;12,706;12,905;13,094;13,275;13,448;13,614;13,775;13,929;14,078;14,222;14,362;14,497;14,627;14,754;14,877;14,996;15,112
San Felipe;Retalhuleu;23,884;24,351;24,816;25,277;25,736;26,191;26,640;27,083;27,520;27,953;28,378;28,798;29,213;29,621;30,023;30,421;30,812;31,199;31,582;31,959;32,331
San Andrés Villa Seca;Retalhuleu;50,341;51,316;52,283;53,241;54,194;55,133;56,060;56,974;57,876;58,763;59,635;60,494;61,338;62,167;62,982;63,786;64,576;65,353;66,118;66,873;67,612
Champerico;Retalhuleu;35,040;35,649;36,250;36,842;37,429;38,006;38,570;39,124;39,666;40,196;40,715;41,221;41,716;42,200;42,671;43,134;43,583;44,024;44,454;44,876;45,286
Nuevo San Carlos;Retalhuleu;39,942;40,180;40,470;40,801;41,166;41,552;41,956;42,369;42,791;43,214;43,637;44,058;44,474;44,884;45,287;45,684;46,072;46,451;46,823;47,185;47,537
El Asintal;Retalhuleu;39,062;39,785;40,500;41,207;41,909;42,601;43,281;43,950;44,607;45,253;45,886;46,508;47,118;47,715;48,301;48,877;49,440;49,994;50,538;51,072;51,595
San Marcos;San Marcos;46,835;47,041;47,344;47,723;48,142;48,609;49,115;49,654;50,218;50,800;51,397;52,004;52,619;53,238;53,859;54,483;55,105;55,726;56,344;56,958;57,569
San Pedro Sacatepéquez;San Marcos;76,620;78,315;79,910;81,438;82,881;84,289;85,671;87,030;88,370;89,692;90,996;92,282;93,549;94,801;96,035;97,253;98,455;99,640;100,810;101,965;103,103
San Antonio Sacatepéquez;San Marcos;18,096;18,636;19,154;19,651;20,118;20,565;20,994;21,409;21,808;22,193;22,566;22,927;23,279;23,620;23,953;24,279;24,596;24,907;25,212;25,511;25,806
Comitancillo;San Marcos;75,535;76,400;77,279;78,157;78,990;79,810;80,612;81,393;82,153;82,890;83,601;84,287;84,947;85,582;86,191;86,776;87,337;87,875;88,389;88,881;89,350
San Miguel Ixtahuacán;San Marcos;49,187;49,744;50,309;50,874;51,411;51,937;52,452;52,955;53,442;53,914;54,370;54,809;55,231;55,637;56,027;56,401;56,758;57,101;57,428;57,740;58,039
Concepción Tutuapa;San Marcos;76,129;77,451;78,799;80,161;81,489;82,817;84,138;85,452;86,756;88,046;89,323;90,583;91,829;93,059;94,272;95,470;96,652;97,818;98,970;100,106;101,227
Tacaná;San Marcos;77,851;78,494;79,185;79,907;80,616;81,341;82,079;82,826;83,581;84,339;85,101;85,864;86,627;87,389;88,151;88,914;89,674;90,433;91,190;91,946;92,700
Sibinal;San Marcos;16,104;16,244;16,397;16,560;16,725;16,894;17,069;17,248;17,430;17,615;17,801;17,988;18,177;18,366;18,555;18,745;18,934;19,123;19,313;19,501;19,688
Tajumulco;San Marcos;56,684;57,784;58,908;60,046;61,163;62,284;63,405;64,524;65,640;66,749;67,852;68,948;70,035;71,116;72,187;73,251;74,306;75,354;76,392;77,424;78,448
Tejutla;San Marcos;38,897;39,788;40,702;41,631;42,553;43,481;44,416;45,356;46,298;47,243;48,189;49,136;50,083;51,029;51,976;52,923;53,870;54,816;55,763;56,710;57,657
San Rafael Pie de la Cuesta;San Marcos;16,888;17,133;17,382;17,633;17,874;18,115;18,352;18,586;18,817;19,044;19,266;19,483;19,695;19,903;20,106;20,304;20,498;20,687;20,872;21,052;21,228
Nuevo Progreso;San Marcos;28,986;29,479;29,982;30,489;30,984;31,477;31,968;32,456;32,940;33,417;33,889;34,356;34,816;35,269;35,716;36,158;36,592;37,021;37,443;37,860;38,271
El Tumbador;San Marcos;46,839;47,710;48,599;49,499;50,380;51,263;52,144;53,022;53,896;54,764;55,626;56,478;57,324;58,162;58,991;59,813;60,627;61,433;62,231;63,021;63,804
San José el Rodeo;San Marcos;17,389;17,718;18,055;18,396;18,731;19,066;19,401;19,735;20,067;20,399;20,727;21,053;21,376;21,697;22,015;22,330;22,642;22,951;23,259;23,563;23,864
Malacatán;San Marcos;101,444;102,773;104,122;105,476;106,774;108,056;109,318;110,558;111,772;112,956;114,110;115,233;116,325;117,384;118,412;119,411;120,378;121,316;122,224;123,104;123,957
Catarina;San Marcos;29,726;30,194;30,671;31,151;31,618;32,082;32,542;32,998;33,448;33,891;34,328;34,757;35,178;35,593;36,000;36,399;36,791;37,176;37,554;37,925;38,288
Ayutla;San Marcos;39,796;41,014;42,188;43,316;44,380;45,401;46,383;47,328;48,239;49,118;49,968;50,791;51,589;52,365;53,119;53,856;54,574;55,276;55,963;56,636;57,296
Ocós;San Marcos;11,340;11,619;11,877;12,120;12,346;12,564;12,776;12,983;13,185;13,385;13,581;13,773;13,964;14,151;14,335;14,517;14,697;14,874;15,048;15,221;15,391
San Pablo;San Marcos;46,260;47,229;48,221;49,226;50,219;51,216;52,217;53,219;54,221;55,221;56,218;57,213;58,203;59,190;60,173;61,152;62,127;63,097;64,064;65,027;65,987
El Quetzal;San Marcos;24,325;24,558;24,810;25,076;25,339;25,611;25,888;26,169;26,455;26,743;27,032;27,323;27,613;27,905;28,195;28,486;28,775;29,065;29,353;29,640;29,925
La Reforma;San Marcos;21,636;21,982;22,334;22,689;23,034;23,377;23,717;24,055;24,389;24,718;25,043;25,361;25,675;25,983;26,286;26,584;26,877;27,164;27,446;27,724;27,996
Pajapita;San Marcos;22,079;22,270;22,463;22,654;22,832;23,005;23,171;23,331;23,483;23,627;23,763;23,892;24,012;24,124;24,228;24,325;24,414;24,496;24,571;24,639;24,701
Ixchiguán;San Marcos;22,707;23,075;23,450;23,828;24,196;24,561;24,926;25,286;25,642;25,994;26,341;26,682;27,019;27,349;27,674;27,994;28,308;28,617;28,921;29,219;29,513
San José Ojetenam;San Marcos;21,760;21,898;22,055;22,227;22,399;22,580;22,768;22,963;23,164;23,369;23,577;23,788;24,000;24,216;24,433;24,650;24,870;25,090;25,311;25,532;25,753
San Cristóbal Cucho;San Marcos;16,798;17,000;17,205;17,410;17,605;17,798;17,987;18,172;18,352;18,526;18,696;18,860;19,019;19,172;19,319;19,463;19,599;19,731;19,858;19,980;20,098
Sipacapa;San Marcos;23,637;24,266;24,892;25,511;26,109;26,695;27,270;27,833;28,383;28,921;29,446;29,959;30,460;30,949;31,427;31,893;32,350;32,796;33,233;33,661;34,080
Esquipulas Palo Gordo;San Marcos;12,393;12,697;12,987;13,263;13,523;13,775;14,018;14,254;14,485;14,711;14,933;15,148;15,361;15,569;15,775;15,977;16,176;16,372;16,565;16,756;16,943
Río Blanco;San Marcos;5,608;5,688;5,769;5,851;5,930;6,008;6,085;6,162;6,237;6,310;6,381;6,453;6,521;6,589;6,653;6,718;6,780;6,842;6,901;6,959;7,015
San Lorenzo;San Marcos;12,359;12,638;12,924;13,215;13,503;13,793;14,085;14,378;14,672;14,967;15,262;15,556;15,851;16,145;16,440;16,734;17,028;17,321;17,615;17,908;18,202
La Blanca;San Marcos;30,451;31,202;31,895;32,548;33,155;33,740;34,307;34,863;35,408;35,942;36,469;36,987;37,497;37,999;38,495;38,984;39,465;39,941;40,411;40,873;41,330
Huehuetenango;Huehuetenango;110,707;114,370;118,048;121,768;125,505;129,232;132,944;136,639;140,311;143,954;147,568;151,149;154,698;158,212;161,692;165,134;168,543;171,917;175,256;178,560;181,832
Chiantla;Huehuetenango;88,719;89,166;89,713;90,376;91,132;91,954;92,840;93,780;94,767;95,796;96,864;97,965;99,095;100,251;101,430;102,630;103,848;105,083;106,331;107,593;108,865
Malacatancito;Huehuetenango;19,363;19,852;20,345;20,846;21,350;21,855;22,357;22,859;23,359;23,858;24,353;24,846;25,338;25,827;26,313;26,797;27,280;27,760;28,239;28,716;29,191
Cuilco;Huehuetenango;59,650;60,765;61,871;62,983;64,091;65,178;66,248;67,297;68,325;69,329;70,313;71,273;72,211;73,127;74,023;74,896;75,750;76,584;77,400;78,197;78,978
Nentón;Huehuetenango;43,937;45,073;46,149;47,210;48,261;49,299;50,328;51,349;52,360;53,362;54,353;55,335;56,307;57,269;58,222;59,166;60,101;61,028;61,946;62,857;63,760
San Pedro Necta;Huehuetenango;37,610;38,199;38,780;39,361;39,934;40,493;41,036;41,562;42,073;42,565;43,042;43,500;43,943;44,370;44,780;45,174;45,554;45,920;46,271;46,610;46,936
Jacaltenango;Huehuetenango;36,747;37,867;38,986;40,117;41,250;42,375;43,493;44,605;45,704;46,794;47,872;48,938;49,993;51,034;52,065;53,083;54,089;55,084;56,068;57,041;58,003
San Pedro Soloma;Huehuetenango;53,376;55,003;56,631;58,271;59,914;61,547;63,166;64,772;66,363;67,936;69,491;71,029;72,548;74,048;75,530;76,993;78,439;79,868;81,280;82,675;84,055
San Ildefonso Ixtahuacán;Huehuetenango;48,982;50,057;51,130;52,217;53,305;54,382;55,453;56,511;57,558;58,592;59,613;60,621;61,616;62,598;63,568;64,524;65,470;66,403;67,326;68,238;69,141
Santa Bárbara;Huehuetenango;37,195;38,290;39,383;40,481;41,578;42,667;43,743;44,809;45,862;46,902;47,929;48,941;49,940;50,926;51,898;52,857;53,803;54,739;55,662;56,574;57,475
La Libertad;Huehuetenango;40,546;41,757;42,968;44,190;45,414;46,629;47,837;49,035;50,223;51,397;52,559;53,708;54,844;55,966;57,075;58,171;59,255;60,326;61,384;62,432;63,467
La Democracia;Huehuetenango;55,263;56,183;57,092;58,004;58,906;59,788;60,647;61,486;62,300;63,091;63,858;64,601;65,322;66,019;66,694;67,347;67,979;68,590;69,183;69,755;70,311
San Miguel Acatán;Huehuetenango;32,815;33,143;33,541;34,006;34,522;35,071;35,648;36,245;36,857;37,479;38,110;38,744;39,381;40,019;40,656;41,292;41,925;42,557;43,185;43,810;44,432
San Rafael La Independencia;Huehuetenango;16,858;17,136;17,410;17,685;17,956;18,222;18,481;18,733;18,978;19,216;19,446;19,669;19,885;20,093;20,296;20,490;20,680;20,862;21,039;21,210;21,375
Todos Santos Cuchumatán;Huehuetenango;34,858;35,549;36,237;36,930;37,622;38,303;38,976;39,638;40,289;40,927;41,554;42,170;42,773;43,366;43,946;44,515;45,074;45,623;46,161;46,689;47,209
San Juan Atitán;Huehuetenango;23,467;23,718;24,021;24,371;24,756;25,165;25,591;26,031;26,482;26,938;27,399;27,861;28,326;28,789;29,252;29,713;30,172;30,629;31,083;31,535;31,984
Santa Eulalia;Huehuetenango;45,681;46,582;47,478;48,382;49,283;50,171;51,047;51,910;52,756;53,589;54,404;55,205;55,989;56,759;57,513;58,253;58,978;59,689;60,388;61,074;61,747
San Mateo Ixtatán;Huehuetenango;50,129;51,524;52,933;54,367;55,820;57,277;58,738;60,203;61,672;63,139;64,610;66,078;67,550;69,019;70,492;71,963;73,436;74,912;76,388;77,868;79,349
Colotenango;Huehuetenango;40,409;41,064;41,710;42,358;42,997;43,622;44,231;44,823;45,397;45,954;46,492;47,014;47,517;48,004;48,473;48,927;49,366;49,788;50,197;50,591;50,973
San Sebastián Huehuetenango;Huehuetenango;35,393;36,518;37,642;38,775;39,909;41,035;42,153;43,261;44,359;45,444;46,517;47,576;48,623;49,657;50,677;51,684;52,678;53,661;54,631;55,590;56,536
Tectitán;Huehuetenango;10,838;11,002;11,162;11,322;11,481;11,635;11,783;11,928;12,066;12,201;12,330;12,454;12,574;12,688;12,799;12,903;13,005;13,102;13,194;13,282;13,368
Concepción Huista;Huehuetenango;24,466;18,717;19,130;19,549;19,968;20,384;20,798;21,208;21,614;22,016;22,413;22,806;23,194;23,578;23,958;24,334;24,705;25,073;25,437;25,798;26,154
San Juan Ixcoy;Huehuetenango;27,877;28,350;28,818;29,286;29,751;30,205;30,649;31,081;31,503;31,912;32,310;32,695;33,071;33,433;33,786;34,126;34,457;34,778;35,089;35,391;35,684
San Antonio Huista;Huehuetenango;15,713;16,226;16,739;17,257;17,775;18,291;18,803;19,311;19,814;20,313;20,806;21,293;21,774;22,250;22,719;23,183;23,641;24,094;24,541;24,981;25,418
San Sebastián Coatán;Huehuetenango;23,683;24,023;24,356;24,688;25,016;25,332;25,639;25,935;26,219;26,491;26,752;27,003;27,242;27,470;27,688;27,896;28,094;28,283;28,462;28,634;28,796
Santa Cruz Barillas;Huehuetenango;107,436;110,605;113,667;116,671;119,607;122,466;125,258;127,991;130,669;133,295;135,875;138,411;140,910;143,372;145,801;148,198;150,567;152,910;155,229;157,525;159,800
Aguacatán;Huehuetenango;53,559;54,458;55,345;56,234;57,116;57,977;58,818;59,638;60,435;61,209;61,961;62,689;63,396;64,080;64,742;65,383;66,005;66,607;67,190;67,755;68,302
San Rafael Petzal;Huehuetenango;11,160;11,393;11,627;11,862;12,097;12,330;12,559;12,786;13,010;13,231;13,449;13,663;13,873;14,080;14,285;14,485;14,683;14,878;15,070;15,259;15,446
San Gaspar Ixchil;Huehuetenango;9,684;9,820;9,953;10,085;10,216;10,341;10,463;10,581;10,693;10,801;10,903;11,002;11,096;11,185;11,270;11,351;11,428;11,501;11,570;11,636;11,698
Santiago Chimaltenango;Huehuetenango;12,317;12,644;12,971;13,304;13,637;13,971;14,302;14,631;14,958;15,283;15,605;15,924;16,241;16,555;16,867;17,175;17,481;17,784;18,085;18,383;18,679
Santa Ana Huista;Huehuetenango;8,878;9,181;9,463;9,729;9,983;10,225;10,460;10,687;10,910;11,126;11,340;11,549;11,755;11,959;12,159;12,357;12,553;12,748;12,940;13,131;13,320
Unión Cantinil;Huehuetenango;15,047;15,502;15,962;16,433;16,911;17,393;17,878;18,367;18,858;19,352;19,848;20,347;20,848;21,351;21,857;22,366;22,877;23,390;23,907;24,426;24,949
Petatán;Huehuetenango;0;6,300;6,439;6,580;6,721;6,861;7,000;7,138;7,275;7,409;7,543;7,676;7,806;7,936;8,063;8,190;8,315;8,438;8,561;8,682;8,803
Santa Cruz del Quiché;Quiché;90,521;91,890;93,322;94,849;96,414;97,957;99,479;100,977;102,447;103,888;105,298;106,678;108,028;109,347;110,638;111,899;113,131;114,337;115,517;116,671;117,799
Chiché;Quiché;30,813;31,029;31,261;31,519;31,782;32,033;32,271;32,494;32,703;32,897;33,077;33,242;33,393;33,530;33,653;33,763;33,861;33,948;34,023;34,086;34,139
Chinique;Quiché;12,062;12,289;12,526;12,777;13,035;13,292;13,547;13,800;14,052;14,302;14,548;14,792;15,033;15,273;15,509;15,743;15,975;16,203;16,430;16,655;16,877
Zacualpa;Quiché;35,695;36,353;37,040;37,769;38,517;39,262;40,003;40,739;41,467;42,188;42,902;43,607;44,304;44,992;45,673;46,346;47,010;47,668;48,318;48,962;49,599
Chajul;Quiché;44,438;45,719;46,994;48,283;49,562;50,806;52,019;53,201;54,355;55,481;56,582;57,659;58,715;59,749;60,766;61,764;62,747;63,716;64,672;65,614;66,545
Santo Tomás Chichicastenango;Quiché;138,976;140,802;142,714;144,765;146,861;148,918;150,932;152,900;154,817;156,681;158,490;160,245;161,947;163,595;165,193;166,738;168,233;169,682;171,084;172,441;173,754
Patzité;Quiché;6,963;7,076;7,204;7,343;7,491;7,639;7,787;7,936;8,084;8,230;8,376;8,521;8,663;8,805;8,945;9,084;9,222;9,358;9,494;9,627;9,760
San Antonio Ilotenango;Quiché;26,663;27,302;27,968;28,673;29,399;30,129;30,864;31,600;32,339;33,080;33,820;34,561;35,303;36,045;36,788;37,531;38,274;39,018;39,764;40,511;41,259
San Pedro Jocopilas;Quiché;34,586;35,106;35,650;36,231;36,826;37,412;37,990;38,560;39,117;39,664;40,200;40,724;41,237;41,737;42,227;42,705;43,172;43,630;44,077;44,515;44,942
Cunén;Quiché;41,985;42,788;43,628;44,518;45,431;46,343;47,250;48,151;49,047;49,935;50,815;51,685;52,548;53,402;54,248;55,085;55,914;56,736;57,551;58,357;59,158
San Juan Cotzal;Quiché;32,305;32,915;33,552;34,227;34,920;35,610;36,298;36,981;37,659;38,330;38,994;39,652;40,303;40,947;41,584;42,214;42,838;43,456;44,068;44,674;45,274
Joyabaj;Quiché;91,528;94,009;96,584;99,287;102,061;104,844;107,634;110,427;113,217;116,004;118,783;121,553;124,312;127,061;129,798;132,523;135,233;137,932;140,619;143,292;145,951
Santa María Nebaj;Quiché;69,162;70,417;71,727;73,119;74,546;75,966;77,377;78,776;80,162;81,532;82,887;84,225;85,546;86,850;88,139;89,411;90,668;91,909;93,137;94,350;95,549
San Andrés Sajcabajá;Quiché;25,349;25,748;26,166;26,611;27,067;27,517;27,962;28,401;28,833;29,257;29,672;30,080;30,480;30,872;31,257;31,632;32,001;32,363;32,718;33,066;33,408
San Miguel Uspantán;Quiché;66,651;67,812;69,024;70,311;71,632;72,943;74,244;75,531;76,804;78,060;79,300;80,521;81,725;82,911;84,079;85,231;86,365;87,485;88,588;89,677;90,749
Sacapulas;Quiché;52,010;52,522;53,064;53,652;54,254;54,836;55,398;55,940;56,458;56,954;57,426;57,874;58,301;58,705;59,088;59,448;59,789;60,110;60,412;60,696;60,962
San Bartolomé Jocotenango;Quiché;14,621;14,798;14,982;15,181;15,384;15,583;15,777;15,965;16,149;16,326;16,497;16,663;16,823;16,976;17,124;17,267;17,404;17,536;17,664;17,786;17,904
Canillá;Quiché;12,020;12,089;12,181;12,299;12,432;12,574;12,724;12,880;13,041;13,206;13,375;13,547;13,721;13,898;14,077;14,257;14,438;14,620;14,803;14,987;15,171
Chicamán;Quiché;38,465;39,179;39,924;40,715;41,527;42,335;43,139;43,937;44,728;45,511;46,285;47,052;47,809;48,557;49,298;50,030;50,753;51,469;52,178;52,878;53,572
Playa Grande Ixcán;Quiché;96,526;98,673;100,778;102,932;105,104;107,248;109,372;111,478;113,565;115,635;117,684;119,712;121,722;123,712;125,683;127,634;129,567;131,484;133,384;135,267;137,134
Pachalum;Quiché;8,413;8,652;8,896;9,147;9,400;9,650;9,897;10,141;10,381;10,616;10,848;11,076;11,300;11,520;11,736;11,949;12,158;12,364;12,567;12,767;12,964
Salamá;Baja Verapaz;63,021;64,393;65,788;67,216;68,644;70,066;71,478;72,884;74,277;75,654;77,020;78,371;79,708;81,027;82,332;83,620;84,896;86,155;87,397;88,628;89,841
San Miguel Chicaj;Baja Verapaz;31,304;32,183;33,085;34,013;34,951;35,895;36,845;37,802;38,761;39,723;40,689;41,656;42,626;43,597;44,570;45,543;46,519;47,496;48,473;49,454;50,434
Rabinal;Baja Verapaz;43,367;43,884;44,404;44,930;45,443;45,937;46,411;46,867;47,303;47,714;48,106;48,477;48,828;49,156;49,464;49,751;50,021;50,272;50,502;50,717;50,912
Cubulco;Baja Verapaz;56,153;56,826;57,501;58,186;58,854;59,496;60,112;60,706;61,271;61,806;62,317;62,799;63,254;63,680;64,081;64,455;64,805;65,130;65,429;65,708;65,962
Granados;Baja Verapaz;13,340;13,543;13,749;13,961;14,171;14,380;14,585;14,787;14,986;15,181;15,371;15,559;15,742;15,922;16,098;16,269;16,437;16,601;16,762;16,920;17,073
Santa Cruz El Chol;Baja Verapaz;9,158;9,366;9,578;9,795;10,013;10,229;10,445;10,661;10,874;11,086;11,298;11,506;11,714;11,919;12,122;12,324;12,524;12,722;12,917;13,111;13,304
San Jerónimo;Baja Verapaz;24,063;24,739;25,432;26,145;26,865;27,591;28,321;29,057;29,795;30,535;31,277;32,022;32,768;33,514;34,263;35,012;35,764;36,516;37,270;38,025;38,780
Purulhá;Baja Verapaz;58,932;59,987;61,055;62,144;63,226;64,292;65,340;66,374;67,388;68,379;69,352;70,303;71,234;72,142;73,029;73,893;74,739;75,564;76,366;77,153;77,916
Cobán;Alta Verapaz;200,830;205,451;210,119;214,811;219,494;224,109;228,664;233,151;237,572;241,927;246,214;250,434;254,590;258,680;262,708;266,675;270,584;274,435;278,231;281,973;285,662
Santa Cruz Verapaz;Alta Verapaz;30,540;31,406;32,288;33,181;34,082;34,981;35,878;36,773;37,666;38,557;39,446;40,332;41,215;42,096;42,975;43,852;44,727;45,600;46,472;47,343;48,213
San Cristóbal Verapaz;Alta Verapaz;72,436;73,822;75,212;76,599;77,971;79,308;80,613;81,883;83,119;84,321;85,489;86,625;87,727;88,799;89,839;90,850;91,831;92,785;93,712;94,611;95,485
Tactic;Alta Verapaz;37,524;38,267;39,014;39,761;40,501;41,224;41,930;42,619;43,292;43,949;44,587;45,210;45,817;46,408;46,984;47,544;48,092;48,624;49,143;49,649;50,142
Tamahú;Alta Verapaz;20,807;21,422;22,038;22,653;23,262;23,858;24,444;25,017;25,578;26,126;26,663;27,187;27,698;28,197;28,685;29,161;29,624;30,078;30,520;30,951;31,374
San Miguel Tucurú;Alta Verapaz;45,512;46,431;47,356;48,280;49,196;50,093;50,971;51,828;52,666;53,484;54,282;55,061;55,821;56,562;57,285;57,990;58,679;59,351;60,007;60,648;61,272
Panzós;Alta Verapaz;72,979;74,351;75,727;77,100;78,457;79,777;81,063;82,314;83,530;84,712;85,858;86,970;88,050;89,097;90,112;91,097;92,053;92,979;93,877;94,748;95,594
Senahú;Alta Verapaz;89,845;91,348;92,857;94,362;95,850;97,296;98,703;100,068;101,395;102,683;103,934;105,147;106,324;107,467;108,576;109,653;110,699;111,717;112,707;113,670;114,607
San Pedro Carchá;Alta Verapaz;218,371;224,344;230,413;236,555;242,731;248,880;255,006;261,102;267,167;273,204;279,206;285,176;291,115;297,020;302,896;308,742;314,562;320,354;326,122;331,864;337,585
San Juan Chamelco;Alta Verapaz;53,857;55,143;56,444;57,752;59,062;60,355;61,634;62,896;64,144;65,375;66,590;67,789;68,972;70,140;71,293;72,431;73,555;74,665;75,762;76,847;77,918
San Agustín Lanquín;Alta Verapaz;24,350;24,653;24,993;25,362;25,750;26,146;26,551;26,958;27,367;27,776;28,183;28,587;28,987;29,383;29,774;30,159;30,539;30,913;31,280;31,642;31,998
Santa María Cahabón;Alta Verapaz;62,767;64,039;65,318;66,597;67,866;69,107;70,321;71,509;72,669;73,803;74,909;75,988;77,042;78,069;79,072;80,051;81,006;81,938;82,849;83,738;84,606
Chisec;Alta Verapaz;98,126;98,892;99,991;101,330;102,833;104,428;106,084;107,772;109,476;111,182;112,880;114,563;116,225;117,863;119,475;121,061;122,619;124,149;125,651;127,125;128,572
Chahal;Alta Verapaz;25,615;26,260;26,914;27,574;28,235;28,890;29,540;30,183;30,822;31,454;32,079;32,698;33,311;33,919;34,521;35,116;35,707;36,293;36,873;37,448;38,019
Fray Bartolomé de Las Casas;Alta Verapaz;66,532;68,434;70,347;72,263;74,170;76,047;77,896;79,714;81,500;83,255;84,976;86,664;88,319;89,941;91,529;93,086;94,611;96,104;97,567;98,999;100,402
Santa Catalina La Tinta;Alta Verapaz;40,037;40,995;41,959;42,922;43,879;44,819;45,742;46,648;47,536;48,405;49,258;50,092;50,909;51,708;52,491;53,257;54,007;54,741;55,460;56,165;56,855
